Make,Name,Dates,Base,ISO,Process,Type,Details,Origin,Formats
Polaroid,i-type film,available,N/A,640,Instant,Print,"General purpose instant color or black and white film. As with Fujifilm's Instax film, various frame styles are available.",Netherlands,107x 88mm
Polaroid,600 film,2015-,N/A,640,Instant,Print,General purpose instant color or black and white film. Various frame styles.,Netherlands,107x 88mm
Polaroid,SX-70 film,2013-,N/A,160,Instant,Print,General purpose instant color or black and white (ISO 160) film. Various frame styles,Netherlands,107x 88mm
Polaroid,8 x 10 film,available,N/A,640,Instant,Print,General purpose instant color or black and white film.,Netherlands,"325x 215mm (8x10"")"
Kodak,Ektachrome E100,2018-,T,100,E-6,Slide,Professional v fine grain film with moderate saturation and neutral tones. Based on a reformulation of Ektachrome E100G (last available in 2012). Launched at Photokina September 2018 in 135 format. 120 and sheet film formats went on sale in December 2019.,USA,"135–36, 120, 4x5"", 8x10"""
Consumer films,Consumer films,Consumer films,Consumer films,Consumer films,Consumer films,Consumer films,Consumer films,Consumer films,Consumer films
Kodak,ColorPlus 200,1990-,P,200,C-41,Print,"General purpose budget color film. Mid 1980s Kodacolor VR 200 re-introduced as a budget offer to Gold 200, (not USA market), no datasheet available. Moved to estar base in 2021.",USA,135-24 /36
Kodak,Pro Image 100,1997-,P,E.I 100*,C-41,Print,"Budget 'Professional' color film with neutral skin tones for portraits, weddings and social events, more saturated colors than Portra. *An E.I.100 film (ISO ca. 160) originally made for selected markets with hot climates (Latin America & SE Asia) without needing cold storage. Derived from Gold v6 films and uses a Kodak Gold print profile. In 2018 Kodak added it to official distribution in Europe. Estar base from 2023 and in 2019 to North America.",USA,135-36
Kodak,Gold 200,2007-,P,200,C-41,Print,"General purpose consumer color film (GB) with saturated colours, fine grain and high sharpness. Kodacolor Gold films introduced in 1988. Kodak Gold (v6) from 1997, current v7 introduced 2007. Estar base from 2023.  120 format reintroduced in March 2022.",USA,"135-24 /36, 120"
Kodak,Ultra Max 400,2007-,P,400,C-41,Print,General purpose 'all conditions' consumer film (GC) with bright vibrant colors and natural skin-tones. Called Gold 400 1997 to 2007. Estar base from 2023.,USA,135-24 /36
Kodak,Ultra Max 800,2007-,T,800,C-41,Print,General purpose high speed consumer film with bright vibrant colors and natural skin-tones. Since 2008 only sold in Kodak Single Use Cameras,USA,SUC-27/39
Professional films,Professional films,Professional films,Professional films,Professional films,Professional films,Professional films,Professional films,Professional films,Professional films
Kodak,Ektar 100,2008-,T/P,100,C-41,Print,"Professional fine grain film with ultra-vivid colors for nature, travel & fashion photography. Sheet film - PET base.",USA,"135–36, 120, 4x5"", 8x10"""
Kodak,Portra 160,2011-,T/P,160,C-41,Print,"Professional, Very fine grain film with natural colors and low contrast/saturation for portraits, fashion & wedding photography. Vision 3 technology. Sheet film - PET base.",USA,"135–36, 120, 4x5"", 8x10"""
Kodak,Portra 400,2010-,T/P,400,C-41,Print,"Professional, fine grain film with natural colors for portraits, fashion & commercial photography. Slightly higher contrast than Portra 160. Vision 3 technology. Sheet film - PET base.",USA,"135–36, 120, 4x5"", 8x10"""
Kodak,Portra 800,1998-,P,800,C-41,Print,"Professional, fine grain film with natural colors for low light situations. Estar base from 2021.",USA,"135–36, 120"
Kodak,Tri-X,1940- / 2007-,T/P,320/ 400,B&W,Print,"Traditional cubic grain panchromatic film with high contrast and re-known for its use in photojournalism. Introduced in 1940 as sheet film and in 1954 in other formats (TX), re-engineered in 2007 with a finer grain. A Tri-X single use camera was added in 2021. Sheet film - PET base ISO 320 (TXP).",USA,"135-24 /36 & 100 ft, 120, 4x5"", 5x7"", 8x10"""
